_id,ltable_ID,rtable_ID,ltable_full name,ltable_club,ltable_overall,rtable_full_name,rtable_club,rtable_overall,gold_labels
44305,1526,7622,jae sung lee,jeonbuk hyundai motors,76,dong gook lee,jeonbuk hyundai motors,71,0
82719,2784,8315,veli kavlak,besiktas jk,73,veli kavlak,besiktas jk,73,1
40528,1032,9140,alessandro gamberini,chievo verona,77,alessandro gamberini,chievo verona,77,1
46373,2969,1905,carl jenkinson,birmingham city,73,michael morrison,birmingham city,72,0
81668,2400,8698,matias laba,vancouver whitecaps fc,74,matias laba,vancouver whitecaps fc,74,1
49442,3152,1488,junior alonso,losc lille,73,junior alonso,losc lille,73,1
55643,3122,429,joaquin correa,sevilla fc,73,sebastien corchia,sevilla fc,79,0
23554,1508,4469,jose juan vazquez,santos laguna,76,jorge enriquez,santos laguna,66,0
54048,2537,1360,goncalo manuel ganchinho guedes,valencia cf,74,goncalo manuel ganchinho guedes,valencia cf,74,1
13165,286,425,xherdan shaqiri,stoke city,82,ryan shawcross,stoke city,79,0
57052,3438,1938,pal andre helland,rosenborg bk,72,pal andre helland,rosenborg bk,72,1
75778,3255,8248,ali adnan,udinese,73,ali adnan,udinese,73,1
77521,2504,8740,bryan dabo,fiorentina,74,bryan dabo,fiorentina,74,1
49569,2022,1143,edgar antonio mendez ortega,cruz azul,75,edgar antonio mendez ortega,cruz azul,75,1
18899,1756,1112,julian omar ramos suarez,cd leganes,75,mauro dos santos,cd leganes,75,0
53911,2814,1717,romain genevois,stade malherbe caen,73,romain genevois,stade malherbe caen,73,1
19544,1049,641,wes hoolahan,norwich city,77,wes hoolahan,norwich city,77,1
62322,2337,2729,ewerton jose almeida santos,1. fc nurnberg,74,tobias werner,1. fc nurnberg,70,0
52693,2719,1631,egemen korkmaz,medipol basaksehir fk,73,egemen korkmaz,medipol basaksehir fk,73,1
56617,2528,1213,marios oikonomou,bari,74,marios oikonomou,bari,74,1
19072,1447,1002,fabio santos martins,sc braga,76,fransergio rodrigues barbosa,sc braga,75,0
3295,195,338,nemanja matic,manchester united,83,matteo darmian,manchester united,80,0
31532,284,9629,ciro immobile,lazio,82,ciro immobile,lazio,82,1
32628,838,9367,maximiliano pereira,fc porto,78,maximiliano pereira,fc porto,78,1
44968,1897,596,hans vanaken,club brugge kv,75,hans vanaken,club brugge kv,77,0
42545,850,9308,omar el kaddouri,paok,78,omar el kaddouri,paok,78,1
78972,3683,8518,alberto martin romo garcia-adamez,granada cf,72,darwin machis,granada cf,74,0
46388,3475,1905,michael morrison,birmingham city,72,michael morrison,birmingham city,72,1
13494,1776,854,simone missiroli,sassuolo,75,alessandro matri,sassuolo,76,0
71791,3515,8074,ben marshall,wolverhampton wanderers,72,ben marshall,wolverhampton wanderers,72,1
74901,3662,8127,edgar miguel ie,losc lille,72,edgar miguel ie,losc lille,72,1
30238,220,9626,raul albiol tortajada,napoli,83,raul albiol tortajada,napoli,82,0
21773,1380,3660,alfred duncan,sassuolo,76,cristian dell'orco,sassuolo,68,0
68272,2349,5371,thabo matlaba,orlando pirates,74,justice chabalala,orlando pirates,65,0
46350,2344,1381,gotoku sakai,hamburger sv,74,gotoku sakai,hamburger sv,74,1
72755,2655,8622,jakob johansson,aek athens,74,jakob johansson,aek athens,74,1
3186,120,103,juan manuel mata garcia,manchester united,84,nemanja matic,manchester united,84,0
31648,1812,8752,filip orevic,lazio,75,filip orevic,lazio,75,1
41416,715,9479,jonathas de jesus mauricio,hannover 96,79,jonathas de jesus mauricio,hannover 96,79,1
52196,2936,1548,idriss saadi,rc strasbourg alsace,73,idriss saadi,rc strasbourg alsace,73,1
7413,1305,1232,jordan amavi,olympique de marseille,77,jordan amavi,olympique de marseille,74,1
25054,669,6615,igor denisov,lokomotiv moscow,79,timofey margasov,lokomotiv moscow,68,0
75865,3667,8129,wanderson maciel sousa campos,fc krasnodar,72,wanderson maciel sousa campos,fc krasnodar,72,1
22380,1886,2466,antonio manuel luna rodriguez,levante ud,75,sasa lukic,levante ud,70,0
61248,3359,2758,russell martin,norwich city,72,matt jarvis,norwich city,70,0
56030,2761,1664,marc wilson,sunderland,73,marc wilson,sunderland,73,1
38734,1746,8602,marcos angeleri,san lorenzo de almagro,75,leandro romagnoli,san lorenzo de almagro,74,0
41331,1184,9119,jeffrey gouweleeuw,fc augsburg,77,michael gregoritsch,fc augsburg,76,0
26270,1283,7269,borja garcia freire,girona fc,77,farid boulaya,girona fc,70,0
36521,1163,9310,charles aranguiz,bayer 04 leverkusen,77,julian baumgartlinger,bayer 04 leverkusen,78,0
74262,2412,8861,jason denayer,galatasaray sk,74,eren derdiyok,galatasaray sk,75,0
27718,20,9716,david josue jimenez silva,manchester city,89,david josue jimenez silva,manchester city,89,1
55586,3011,1528,tiago almeida ilori,reading,73,tiago almeida ilori,reading,73,1
24979,388,6254,asier illarramendi,real sociedad,81,eneko capilla gonzalez,real sociedad,67,0
49668,3038,1542,alfonso gonzalez,monterrey,73,alfonso gonzalez,monterrey,73,1
48552,2434,1407,maxime lopez,olympique de marseille,74,maxime lopez,olympique de marseille,74,1
29575,826,9346,cristian zapata,milan,78,cristian zapata,milan,78,1
40424,1199,9185,sebastien haller,eintracht frankfurt,77,alexander meier,eintracht frankfurt,77,0
57625,3700,1516,danovis banguero,deportes tolima,72,angelo rodriguez,deportes tolima,73,0
45295,2119,966,welthon fiel sampaio,vitoria guimaraes,75,welthon fiel sampaio,vitoria guimaraes,75,1
28622,119,9664,medhi benatia,juventus,84,benedikt howedes,juventus,83,0
72719,2079,8622,jakob johansson,aek athens,75,jakob johansson,aek athens,74,0
79668,3301,8093,christian luyindama,standard de liege,73,luis pedro cavanda,standard de liege,72,0
58689,2655,2834,jakob johansson,aek athens,74,konstantinos galanopoulos,aek athens,69,0
29462,192,7487,giacomo bonaventura,milan,83,jherson vergara,milan,70,0
7570,954,558,ruben afonso borges semedo,villarreal cf,78,ruben afonso borges semedo,villarreal cf,78,1
81133,3599,9721,jin ho sin,sangju sangmu fc,72,min kyu joo,sangju sangmu fc,67,0
34537,1077,9391,bryan ruiz,sporting cp,77,alan ruiz,sporting cp,78,0
7653,178,112,jonas goncalves oliveira,sl benfica,83,jonas goncalves oliveira,sl benfica,83,1
9428,251,281,leighton baines,everton,82,ross barkley,everton,81,0
20128,1857,592,carlos eduardo de oliveira alves,al hilal,75,carlos eduardo de oliveira alves,al hilal,77,0
16491,1113,904,ivan radovanovic,chievo verona,77,nenad tomovic,chievo verona,76,0
13009,841,541,fin bartels,sv werder bremen,78,fin bartels,sv werder bremen,78,1
36433,301,9621,karim bellarabi,bayer 04 leverkusen,82,karim bellarabi,bayer 04 leverkusen,82,1
41397,1483,7499,pablo aguilar,club tijuana,76,emanuel aguilera,club tijuana,70,0
37393,1239,7943,matteo politano,sassuolo,77,edoardo goldaniga,sassuolo,72,0
54782,2958,2302,francisco montanes claverias,cd tenerife,73,jesus manuel santana abreu,cd tenerife,71,0
47341,2441,1426,mikel merino zazon,newcastle united,74,mikel merino zazon,newcastle united,74,1
82996,3331,7998,yoshito okubo,f.c. tokyo,72,yoshito okubo,f.c. tokyo,72,1
75607,3096,8468,fernando tobio,rosario central,73,fernando tobio,rosario central,73,1
55722,3431,1931,te se chong,shimizu s-pulse,72,te se chong,shimizu s-pulse,72,1
23934,5,5443,kevin de bruyne,manchester city,91,brahim diaz,manchester city,66,0
67288,2179,7266,antonio latorre grueso,valencia cf,75,antonio latorre grueso,valencia cf,70,0
44120,1352,8455,rodrigo modesto da silva moledo,panathinaikos fc,76,robin lod,panathinaikos fc,73,0
10161,713,1568,seydou doumbia,sporting cp,79,douglas franco teixeira,sporting cp,73,0
71815,1930,8881,okay yokuslu,trabzonspor,75,okay yokuslu,trabzonspor,75,1
55892,3315,1971,kenny miller,rangers fc,72,kenny miller,rangers fc,72,1
55527,2701,1282,markus rosenberg,malmo ff,73,anders christiansen,malmo ff,74,0
14674,1746,315,marcos angeleri,san lorenzo de almagro,75,fernando belluschi,san lorenzo de almagro,80,0
29777,898,9277,sebastian rode,borussia dortmund,78,sebastian rode,borussia dortmund,78,1
81506,3404,8039,manuel iturra,club necaxa,72,manuel iturra,club necaxa,72,1
7666,232,205,luis miguel afonso fernandes,sl benfica,83,luis miguel afonso fernandes,sl benfica,82,1
77472,2826,8319,vincent nogueira,rc strasbourg alsace,73,vincent nogueira,rc strasbourg alsace,73,1
7132,1240,706,wallace fortuna santos,lazio,77,wallace fortuna santos,lazio,77,1
39340,424,9587,daniel garcia carrillo,sd eibar,81,daniel garcia carrillo,sd eibar,81,1
60704,2955,3986,pablo chavarria,stade de reims,73,xavier chavalerin,stade de reims,67,0
81659,2399,7559,luis quinones,lobos b.u.a.p.,74,pedro aquino,lobos b.u.a.p.,70,0
11304,1610,583,jozy altidore,toronto fc,76,jozy altidore,toronto fc,77,1
73896,2875,8963,junior stanislas,bournemouth,73,simon francis,bournemouth,76,0
78263,2104,8937,sylvester igboun,fc ufa,75,sylvester igboun,fc ufa,75,1
44078,1383,8071,nawaf al abed,al hilal,76,abdulmalek al khaibari,al hilal,72,0
82891,3519,7988,benjamin jeannot,dijon fco,72,benjamin jeannot,dijon fco,72,1
6522,117,164,radamel falcao garcia zarate,as monaco football club sa,84,fabio henrique tavares,as monaco football club sa,83,0
574,45,19,edinson cavani,paris saint-germain,87,edinson cavani,paris saint-germain,87,1
45592,1991,988,jefferson lerma,levante ud,75,jefferson lerma,levante ud,75,1
79000,3137,7818,antonio di gaudio,parma,73,riccardo gagliolo,parma,71,0
33925,356,9224,wayne rooney,everton,81,ramiro funes mori,everton,77,0
56029,2761,1363,marc wilson,sunderland,73,darron gibson,sunderland,74,0
80771,2579,8604,yoan gouffran,goztepe sk,74,yoan gouffran,goztepe sk,74,1
45845,1906,1050,remo freuler,atalanta,75,remo freuler,atalanta,75,1
57160,3764,1797,orkan cinar,besiktas jk,72,orkan cnar,besiktas jk,72,1
29832,36,9690,christian eriksen,tottenham hotspur,88,jan vertonghen,tottenham hotspur,85,0
43409,1031,9216,aaron mooy,huddersfield town,78,aaron mooy,huddersfield town,77,0
23314,1194,3303,marcelo dos santos ferreira,rio ave fc,77,marcos nascimento teixeira,rio ave fc,68,0
57821,3740,1811,luciano acosta,d.c. united,72,luciano acosta,d.c. united,72,1
57357,3560,1591,fernando canesin matos,kv oostende,72,sebastien siani,kv oostende,73,0
58117,2988,2805,gianluca caprari,sampdoria,73,leonardo capezzi,sampdoria,70,0
43805,1781,8760,alessio cerci,hellas verona,75,alessio cerci,hellas verona,75,1
67703,2567,6210,aitor sanz martin,cd tenerife,74,inaki saenz arenzana,cd tenerife,67,0
40398,1079,9052,jonathan de guzman,eintracht frankfurt,77,gelson tavares fernandes,eintracht frankfurt,76,0
48475,3098,1701,erick pulgar,bologna,73,erick pulgar,bologna,73,1
43456,1549,7428,jonas olsson,djurgardens if,76,magnus eriksson,djurgardens if,70,0
42015,1324,8571,lucas torreira,sampdoria,77,edgar barreto,sampdoria,74,0
45808,3688,1833,roberto suarez pier,levante ud,72,roberto suarez pier,levante ud,72,1
49221,3218,134,bernardo fernandes,rb leipzig,73,timo werner,rb leipzig,83,0
13574,1706,310,jordan ayew,swansea city,76,andre ayew,swansea city,80,0
6145,1265,682,lorenzo pellegrini,roma,77,gregoire defrel,roma,77,0
44016,1832,8208,joao miguel coimbra aurelio,vitoria guimaraes,75,joao ricardo da silva afonso,vitoria guimaraes,72,0
44606,1870,8837,milos ninkovic,sydney fc,75,milos ninkovic,sydney fc,75,1
28896,552,9523,sead kolasinac,arsenal,80,sead kolasinac,arsenal,80,1
24488,1695,6842,andre gomes magalhaes almeida,sl benfica,76,pedro miguel pereira,sl benfica,69,0
36387,1601,9620,carlos martinez diaz,real sociedad,76,carlos vela,real sociedad,82,0
70480,3062,8377,anthony limbombe,club brugge kv,73,anthony limbombe,club brugge kv,73,1
8959,1758,139,danny simpson,leicester city,75,adrien s. perruchet silva,leicester city,83,0
83221,2822,8318,andreas bjelland,brentford,73,andreas bjelland,brentford,73,1
15969,829,519,esteban granero molina,rcd espanyol,78,esteban granero molina,rcd espanyol,78,1
53958,3278,1666,frederic guilbert,stade malherbe caen,73,frederic guilbert,stade malherbe caen,73,1
79301,2672,8546,vincent bessat,stade malherbe caen,74,vincent bessat,stade malherbe caen,74,1
2329,91,204,claudio marchisio,juventus,85,federico bernardeschi,juventus,82,0
78045,2902,8316,mahmut tekdemir,medipol basaksehir fk,73,mahmut tekdemir,medipol basaksehir fk,73,1
83197,2781,8313,federico dionisi,frosinone,73,federico dionisi,frosinone,73,1
45269,3416,1985,scott arfield,burnley,72,scott arfield,burnley,72,1
34427,440,9246,bruno miguel borges fernandes,sporting cp,81,bruno cesar zanaki,sporting cp,77,0
16203,979,782,robin van persie,feyenoord,78,jan-arie van der heijden,feyenoord,76,0
83555,3383,8022,emmanuel cascione,cesena,72,emmanuel cascione,cesena,72,1
80629,3042,8395,daniel bessa,hellas verona,73,daniel bessa,hellas verona,73,1
24480,996,6842,andre gomes magalhaes almeida,sl benfica,78,pedro miguel pereira,sl benfica,69,0
32446,202,9367,danilo luis helio pereira,fc porto,83,maximiliano pereira,fc porto,78,0
33496,700,9016,marcelo antonio guedes filho,olympique lyonnais,79,mariano diaz mejia,olympique lyonnais,76,0
3175,98,338,henrikh mkhitaryan,manchester united,85,matteo darmian,manchester united,80,0
69571,3316,6245,heiko westermann,fk austria wien,72,kevin friesenbichler,fk austria wien,67,0
24251,269,6401,jordan henderson,liverpool,82,trent alexander-arnold,liverpool,68,0
58589,3351,3648,markel bergara larranaga,getafe cf,72,mauro arambarri,getafe cf,68,0
30097,1095,9179,moussa sissoko,tottenham hotspur,77,moussa sissoko,tottenham hotspur,77,1
46061,3502,1917,didac vila rosello,rcd espanyol,72,didac vila rosello,rcd espanyol,72,1
49424,1975,1118,ibrahim amadou,losc lille,75,ibrahim amadou,losc lille,75,1
72521,3411,8044,angel luis rodriguez diaz,getafe cf,72,angel luis rodriguez diaz,getafe cf,72,1
71382,2652,7966,marcel heller,fc augsburg,74,jan-ingwer callsen-bracker,fc augsburg,72,0
47879,2653,1775,marcio gonzaga de azevedo,shakhtar donetsk,74,maksym malyshev,shakhtar donetsk,72,0
67864,3014,5913,matteo bianchetti,hellas verona,73,deian boldor,hellas verona,66,0
3939,306,233,stefan savic,atletico madrid,82,stefan savic,atletico madrid,82,1
50702,2476,1646,franko andrijasevic,kaa gent,74,anderson esiti,kaa gent,73,0
45071,3169,1494,marvelous nakamba,club brugge kv,73,marvelous nakamba,club brugge kv,73,1
67637,2417,6096,jae sung lee,jeonbuk hyundai motors,74,seung gi lee,jeonbuk hyundai motors,67,0
577,45,89,edinson cavani,paris saint-germain,87,daniel alves da silva,paris saint-germain,84,0
57698,3327,1830,tiago henrique damil gomes,f. santa maria da feira,72,tiago rafael maia silva,f. santa maria da feira,72,0
28314,423,9599,andreas christensen,chelsea,81,andreas christensen,chelsea,81,1
53785,3623,2019,luca ceppitelli,cagliari,72,luca ceppitelli,cagliari,72,1
