name,full name,overall,club,league,nation,age,height,weight,foot,pac,acceleration,sprint speed,dri,agility,balance,reactions,ball control,dribbling,composure,sho,positioning,finishing,shot power,long_shots,volleys,penalties,defending,interceptions,heading accuracy,marking,standing tackle,sliding tackle,pas,vision,crossing,free kick accuracy,short passing,long passing,curve,phy,jumping,stamina,strength,aggression
cristiano ronaldo,c. ronaldo dos santos aveiro,94,real madrid,laliga santander,portugal,33,185,80,right,90,89,91,90,89,63,96,93,91,95,93,95,94,94,92,88,85,33,29,88,22,31,23,82,85,85,76,83,77,81,80,95,92,80,63
messi,lionel messi,93,fc barcelona,laliga santander,argentina,30,170,72,left,89,92,87,95,90,95,95,95,97,96,90,93,95,85,88,85,74,26,22,71,13,28,26,86,90,77,90,88,87,89,61,68,73,59,48
suarez,luis suarez,92,fc barcelona,laliga santander,uruguay,31,182,86,right,82,88,77,86,86,60,93,91,86,83,90,92,94,87,86,88,85,42,41,77,30,45,38,79,84,77,84,83,64,86,81,69,89,80,78
neymar,neymar da silva santos jr.,92,paris saint-germain,ligue 1 conforama,brazil,26,175,68,right,92,94,90,94,96,82,88,95,96,92,84,90,89,80,77,83,81,30,36,62,21,24,33,79,80,75,84,81,75,81,60,61,78,53,56
lewandowski,robert lewandowski,91,fc bayern munchen,bundesliga,poland,29,185,79,right,81,79,83,86,78,80,91,89,85,87,88,91,91,88,83,87,81,38,39,85,25,42,19,75,78,62,84,83,65,77,82,84,79,84,80
de bruyne,kevin de bruyne,91,manchester city,premier league,belgium,26,181,68,right,76,77,76,87,81,76,90,89,87,85,85,85,83,86,87,82,77,48,59,56,32,54,42,90,92,92,84,92,85,84,76,65,88,73,68
hazard,eden hazard,91,chelsea,premier league,belgium,27,173,76,right,90,93,87,93,94,91,85,93,94,87,83,86,84,79,83,79,87,32,41,57,25,27,22,85,87,80,79,87,81,82,68,60,81,66,55
sergio ramos,sergio ramos garcia,90,real madrid,laliga santander,spain,31,183,75,right,76,75,77,72,79,60,85,84,61,80,63,52,60,79,55,66,68,88,88,91,86,89,91,71,63,66,67,78,72,73,83,93,84,81,84
higuain,gonzalo higuain,90,juventus,calcio a,argentina,30,184,87,right,79,78,80,83,75,69,88,85,84,86,87,92,91,88,82,88,70,25,20,86,12,22,18,70,70,68,62,75,59,74,74,79,72,85,50
kroos,toni kroos,90,real madrid,laliga santander,germany,28,182,78,right,50,56,45,81,71,69,86,89,79,85,81,79,76,87,90,82,73,73,85,54,63,82,69,88,88,85,84,90,93,85,70,32,77,74,60
hazard,eden hazard,90,chelsea,premier league,belgium,27,173,76,right,90,93,87,92,93,91,85,92,93,87,82,85,83,79,82,79,86,32,41,57,25,27,22,84,86,80,79,86,81,82,66,59,79,65,54
chiellini,giorgio chiellini,89,juventus,calcio a,italy,33,187,85,left,74,68,78,60,59,64,82,57,58,82,46,28,33,78,49,45,50,90,88,84,92,92,90,56,50,58,31,59,59,60,85,89,68,91,92
aguero,sergio aguero,89,manchester city,premier league,argentina,29,173,70,right,87,90,84,89,86,91,89,89,89,90,88,91,90,88,83,85,83,23,24,68,13,20,12,75,83,70,72,79,63,82,72,80,74,74,63
bale,gareth bale,89,real madrid,laliga santander,wales,28,183,74,left,94,93,95,86,77,65,87,87,89,85,87,86,87,91,90,76,76,57,59,86,51,55,52,84,79,87,85,86,80,86,76,85,76,80,65
modric,luka modric,89,real madrid,laliga santander,croatia,32,174,65,right,73,75,71,89,93,94,88,92,86,84,75,79,71,73,82,74,80,72,76,55,66,80,73,86,90,78,77,92,83,79,65,67,82,58,62
