_id,ltable_ID,rtable_ID,ltable_full name,ltable_club,ltable_overall,rtable_full_name,rtable_club,rtable_overall,gold_labels
269,225,25,jose paulo bezerra m. junior,fc barcelona,83,philippe coutinho correia,fc barcelona,87,0
471,744,391,lucas digne,fc barcelona,79,lucas digne,fc barcelona,79,1
574,45,19,edinson cavani,paris saint-germain,87,edinson cavani,paris saint-germain,87,1
577,45,89,edinson cavani,paris saint-germain,87,daniel alves da silva,paris saint-germain,84,0
620,93,109,angel di maria,paris saint-germain,85,marcos aoas correa,paris saint-germain,84,0
637,114,89,daniel alves da silva,paris saint-germain,84,daniel alves da silva,paris saint-germain,84,1
676,147,47,marcos aoas correa,paris saint-germain,84,angel di maria,paris saint-germain,85,0
986,4,373,robert lewandowski,fc bayern munchen,91,sandro wagner,fc bayern munchen,79,0
1071,57,1,franck ribery,fc bayern munchen,86,robert lewandowski,fc bayern munchen,91,0
1641,244,87,fernando luiz rosa,manchester city,82,bernardo mota carvalho e silva,manchester city,84,0
1652,244,218,fernando luiz rosa,manchester city,82,fernando luiz rosa,manchester city,82,1
1821,10,7,eden hazard,chelsea,90,eden hazard,chelsea,91,1
1896,83,41,cesar azpilicueta tanco,chelsea,86,cesar azpilicueta tanco,chelsea,86,1
2329,91,204,claudio marchisio,juventus,85,federico bernardeschi,juventus,82,0
2661,34,39,pierre-emerick aubameyang,arsenal,88,pierre-emerick aubameyang,arsenal,88,1
3056,1539,736,alex iwobi,arsenal,76,alex iwobi,arsenal,76,1
3175,98,338,henrikh mkhitaryan,manchester united,85,matteo darmian,manchester united,80,0
3186,120,103,juan manuel mata garcia,manchester united,84,nemanja matic,manchester united,84,0
3295,195,338,nemanja matic,manchester united,83,matteo darmian,manchester united,80,0
3939,306,233,stefan savic,atletico madrid,82,stefan savic,atletico madrid,82,1
3956,314,138,saul niguez esclapez,atletico madrid,82,saul niguez esclapez,atletico madrid,83,0
4120,763,436,sime vrsaljko,atletico madrid,79,sime vrsaljko,atletico madrid,79,1
4182,1432,256,lucas hernandez,atletico madrid,76,fernando jose torres sanz,atletico madrid,81,0
4700,736,412,mahmoud dahoud,borussia dortmund,79,mahmoud dahoud,borussia dortmund,79,1
6145,1265,682,lorenzo pellegrini,roma,77,gregoire defrel,roma,77,0
6283,211,154,mohamed salah,liverpool,83,mohamed salah,liverpool,83,1
6473,1364,1096,alberto moreno perez,liverpool,76,andrew robertson,liverpool,75,0
6522,117,164,radamel falcao garcia zarate,as monaco football club sa,84,fabio henrique tavares,as monaco football club sa,83,0
6647,566,156,youri tielemans,as monaco football club sa,80,thomas lemar,as monaco football club sa,83,0
7132,1240,706,wallace fortuna santos,lazio,77,wallace fortuna santos,lazio,77,1
7413,1305,1232,jordan amavi,olympique de marseille,77,jordan amavi,olympique de marseille,74,1
7476,309,240,manuel trigueros munoz,villarreal cf,82,manuel trigueros munoz,villarreal cf,82,1
7566,954,329,ruben afonso borges semedo,villarreal cf,78,roberto soriano,villarreal cf,80,0
7570,954,558,ruben afonso borges semedo,villarreal cf,78,ruben afonso borges semedo,villarreal cf,78,1
7653,178,112,jonas goncalves oliveira,sl benfica,83,jonas goncalves oliveira,sl benfica,83,1
7666,232,205,luis miguel afonso fernandes,sl benfica,83,luis miguel afonso fernandes,sl benfica,82,1
7844,996,535,andre gomes magalhaes almeida,sl benfica,78,andreas samaris,sl benfica,78,0
8062,673,115,hector herrera,fc porto,79,danilo luis helio pereira,fc porto,83,0
8334,877,324,guido burgstaller,fc schalke 04,78,nabil bentaleb,fc schalke 04,80,0
8649,774,388,goncalo manuel ganchinho guedes,valencia cf,79,goncalo manuel ganchinho guedes,valencia cf,79,1
8959,1758,139,danny simpson,leicester city,75,adrien s. perruchet silva,leicester city,83,0
9014,442,317,marcelo antonio guedes filho,olympique lyonnais,81,mariano diaz mejia,olympique lyonnais,80,0
9249,973,133,vincent koziello,ogc nice,78,mario balotelli,ogc nice,83,0
9396,179,178,morgan schneiderlin,everton,83,morgan schneiderlin,everton,83,1
9428,251,281,leighton baines,everton,82,ross barkley,everton,81,0
9525,405,244,ross barkley,everton,81,leighton baines,everton,82,0
10161,713,1568,seydou doumbia,sporting cp,79,douglas franco teixeira,sporting cp,73,0
10749,1051,709,steven davis,southampton,77,steven davis,southampton,77,1
10937,513,339,iago falque silva,torino,80,iago falque silva,torino,80,1
11019,1122,644,mirko valdifiori,torino,77,mirko valdifiori,torino,77,1
11061,1716,1156,emiliano moretti,torino,75,emiliano moretti,torino,75,1
11304,1610,583,jozy altidore,toronto fc,76,jozy altidore,toronto fc,77,1
11323,316,141,quincy promes,spartak moscow,82,quincy promes,spartak moscow,83,0
12039,1677,878,tony jantschke,borussia monchengladbach,76,tony jantschke,borussia monchengladbach,76,1
12064,525,359,daniel didavi,vfl wolfsburg,80,daniel didavi,vfl wolfsburg,80,1
12211,255,1023,carlos vela,real sociedad,82,alberto de la bella madueno,real sociedad,75,0
12749,1234,190,matias kranevitter,zenit st. petersburg,77,branislav ivanovic,zenit st. petersburg,82,0
12843,463,511,manuel h. tavares fernandes,lokomotiv moscow,80,jefferson farfan,lokomotiv moscow,78,0
12867,604,797,igor denisov,lokomotiv moscow,79,dmitriy tarasov,lokomotiv moscow,76,0
12957,1657,797,dmitriy tarasov,lokomotiv moscow,76,dmitriy tarasov,lokomotiv moscow,76,1
12971,268,197,max kruse,sv werder bremen,82,max kruse,sv werder bremen,82,1
13009,841,541,fin bartels,sv werder bremen,78,fin bartels,sv werder bremen,78,1
13110,278,206,taison barcellos freda,shakhtar donetsk,82,taison barcellos freda,shakhtar donetsk,82,1
13165,286,425,xherdan shaqiri,stoke city,82,ryan shawcross,stoke city,79,0
13179,619,425,ryan shawcross,stoke city,79,ryan shawcross,stoke city,79,1
13365,1654,842,geoff cameron,stoke city,76,geoff cameron,stoke city,76,1
13494,1776,854,simone missiroli,sassuolo,75,alessandro matri,sassuolo,76,0
13574,1706,310,jordan ayew,swansea city,76,andre ayew,swansea city,80,0
13635,650,506,emmanuel adebayor,medipol basaksehir fk,79,emmanuel adebayor,medipol basaksehir fk,78,1
13767,1504,1658,jamaal lascelles,newcastle united,76,jamaal lascelles,newcastle united,73,0
13829,338,390,malcom filipe silva de oliveira,fc girondins de bordeaux,82,malcom filipe silva de oliveira,fc girondins de bordeaux,79,0
13971,872,1489,holger badstuber,vfb stuttgart,78,ebenezer ofori,vfb stuttgart,73,0
