c. ronaldo dos santos aveiro,cristiano ronaldo,real madrid,portugal,94,laliga santander,33,185,96,95,85,77,31,93,29,89,22,80,90,63,89,88,91,80,82,23,92,83,94,81,90,95,85,85,94,63,88,33,93,76,95,right,91,92,0,c. ronaldo dos santos aveiro,cristiano ronaldo,real madrid cf,portugal,94,laliga santander,32,185,96,95,85,77,31,93,29,89,22,80,90,63,89,88,91,80,82,23,92,83,94,81,90,95,85,85,94,63,88,33,93,76,95,right,91,92,0
robert lewandowski,lewandowski,fc bayern munchen,poland,91,bundesliga,29,185,91,91,81,65,42,89,39,79,25,84,81,80,78,87,83,82,75,19,83,83,88,77,86,84,78,62,91,80,85,38,88,84,87,right,85,79,4,robert lewandowski,robert lewandowski,fc bayern munchen,poland,91,bundesliga,29,185,91,91,81,65,42,89,39,79,25,84,81,80,78,87,83,82,75,19,83,83,88,77,86,84,78,62,91,80,85,38,88,84,87,right,85,79,1
sergio ramos garcia,sergio ramos,real madrid,spain,90,laliga santander,31,183,85,52,68,72,89,84,88,75,86,81,76,84,79,66,77,83,71,91,55,78,79,73,72,93,63,66,60,60,91,88,63,67,80,right,61,84,7,sergio ramos garcia,sergio ramos,real madrid cf,spain,90,laliga santander,31,183,85,52,68,72,89,84,88,75,86,81,76,84,79,66,77,83,71,91,55,78,79,73,72,93,63,66,60,60,91,88,63,67,80,right,61,84,2
paulo dybala,dybala,juventus,argentina,89,calcio a,24,177,84,84,87,73,20,93,25,88,14,65,86,48,91,89,84,67,84,20,89,86,82,91,91,75,87,82,86,85,70,25,86,87,84,left,92,83,17,paulo dybala,paulo dybala,juventus,argentina,89,calcio a,23,176,84,84,87,73,20,93,25,88,14,65,86,48,91,89,84,67,84,20,89,86,82,91,91,75,87,82,86,85,70,25,86,87,84,left,92,83,3
gonzalo higuain,higuain,juventus,argentina,90,calcio a,30,184,88,92,70,59,22,85,20,78,12,85,79,50,75,88,80,74,70,18,82,75,88,74,83,79,70,68,91,69,86,25,87,62,86,right,84,72,8,gonzalo higuain,gonzalo higuaín,juventus,argentina,90,calcio a,29,184,88,92,70,59,22,85,20,78,12,85,79,50,75,88,80,74,70,18,82,75,88,74,83,79,70,68,91,69,86,25,87,62,86,right,84,72,4
toni kroos,kroos,real madrid,germany,90,laliga santander,28,182,86,79,73,93,82,89,85,56,63,74,50,60,71,82,45,70,88,69,90,90,87,85,81,32,88,85,76,69,54,73,81,84,85,right,79,77,9,toni kroos,toni kroos,real madrid cf,germany,90,laliga santander,27,182,86,79,73,93,82,89,85,56,63,74,50,60,71,82,45,70,88,69,90,90,87,85,81,32,88,85,76,69,54,73,81,84,85,right,79,77,5
eden hazard,hazard,chelsea,belgium,90,premier league,27,173,85,85,86,81,27,92,41,93,25,65,90,54,93,79,87,66,84,22,82,86,79,82,92,59,86,80,83,91,57,32,82,79,87,right,93,79,10,eden hazard,eden hazard,chelsea,belgium,90,premier league,26,173,85,85,86,81,27,92,41,93,25,65,90,54,93,79,87,66,84,22,82,86,79,82,92,59,86,80,83,91,57,32,82,79,87,right,93,79,6
eden hazard,hazard,chelsea,belgium,91,premier league,27,173,85,86,87,81,27,93,41,93,25,66,90,55,94,79,87,68,85,22,83,87,79,82,93,60,87,80,84,91,57,32,83,79,87,right,94,81,6,eden hazard,eden hazard,chelsea,belgium,91,premier league,26,173,85,86,87,81,27,93,41,93,25,66,90,55,94,79,87,68,85,22,83,87,79,82,93,60,87,80,84,91,57,32,83,79,87,right,94,81,7
neymar da silva santos jr.,neymar,paris saint-germain,brazil,92,ligue 1 conforama,26,175,88,90,81,75,24,95,36,94,21,53,92,56,96,83,90,60,79,33,77,81,80,81,94,61,80,75,89,82,62,30,84,84,92,right,96,78,3,neymar da silva santos jr.,neymar,paris saint-germain,brazil,92,ligue 1,25,175,88,90,81,75,24,95,36,94,21,53,92,56,96,83,90,60,79,33,77,81,80,81,94,61,80,75,89,82,62,30,84,84,92,right,96,78,8
luis suarez,suarez,fc barcelona,uruguay,92,laliga santander,31,182,93,92,85,64,45,91,41,88,30,80,82,78,86,88,77,81,79,38,86,83,87,86,86,69,84,77,94,60,77,42,90,84,83,right,86,89,2,luis suarez,luis suárez,fc barcelona,uruguay,92,laliga santander,30,182,93,92,85,64,45,91,41,88,30,80,82,78,86,88,77,81,79,38,86,83,87,86,86,69,84,77,94,60,77,42,90,84,83,right,86,89,9
kevin de bruyne,de bruyne,manchester city,belgium,91,premier league,26,181,90,85,77,85,54,89,59,77,32,73,76,68,81,82,76,76,90,42,87,92,86,84,87,65,92,92,83,76,56,48,85,84,85,right,87,88,5,kevin de bruyne,kevin de bruyne,manchester city,belgium,91,premier league,26,181,90,85,77,85,54,89,59,77,32,73,76,68,81,82,76,76,90,42,87,92,86,84,87,65,92,92,83,76,56,48,85,84,84,right,87,88,10
