acceleration,age,aggression,agility,balance,ball control,club,composure,crossing,curve,defending,dri,dribbling,finishing,free kick accuracy,full name,heading,height,interceptions,jumping,league,long passing,long shots,marking,name,nation,overall,pac,pas,penalties,phy,positioning,reactions,sho,short passing,shot power,sliding tackle,sprint speed,stamina,standing tackle,strength,strong foot,vision,volleys
89,33,63,89,63,93,Real Madrid Cf,95,85,81,33,90,91,94,76,C. Ronaldo Dos Santos Aveiro,88,185,29,95,Laliga Santander,77,92,22,Cristiano Ronaldo,Portugal,94,90,82,85,80,95,96,93,83,94,23,91,92,31,80,Right,85,88
79,29,80,78,80,89,Fc Bayern Munchen,87,62,77,38,86,85,91,84,Robert Lewandowski,85,185,39,84,Bundesliga,65,83,25,Lewandowski,Poland,91,81,75,81,82,91,91,88,83,88,19,83,79,42,84,Right,78,87
75,31,84,79,60,84,Real Madrid Cf,80,66,73,88,72,61,60,67,Sergio Ramos Garcia,91,183,88,93,Laliga Santander,72,55,86,Sergio Ramos,Spain,90,76,71,68,83,52,85,63,78,79,91,77,84,89,81,Right,63,66
88,24,48,91,85,93,Juventus,84,82,91,25,91,92,86,87,Paulo Dybala,70,177,25,75,Calcio A,73,89,14,Dybala,Argentina,89,86,84,87,67,84,84,86,86,82,20,84,83,20,65,Left,87,89
78,30,50,75,69,85,Juventus,86,68,74,25,83,84,91,62,Gonzalo Higuain,86,184,20,79,Calcio A,59,82,12,Higuain,Argentina,90,79,70,70,74,92,88,87,75,88,18,80,72,22,85,Right,70,88
56,28,60,71,69,89,Real Madrid Cf,85,85,85,73,81,79,76,84,Toni Kroos,54,182,85,32,Laliga Santander,93,90,63,Kroos,Germany,90,50,88,73,70,79,86,81,90,87,69,45,77,82,74,Right,88,82
93,27,54,93,91,92,Chelsea,87,80,82,32,92,93,83,79,Eden Hazard,57,173,41,59,Premier League,81,82,25,Hazard,Belgium,90,90,84,86,66,85,85,82,86,79,22,87,79,27,65,Right,86,79
93,27,55,94,91,93,Chelsea,87,80,82,32,93,94,84,79,Eden Hazard,57,173,41,60,Premier League,81,83,25,Hazard,Belgium,91,90,85,87,68,86,85,83,87,79,22,87,81,27,66,Right,87,79
94,26,56,96,82,95,Paris Saint-Germain,92,75,81,30,94,96,89,84,Neymar Da Silva Santos Jr.,62,175,36,61,Ligue 1 Conforama,75,77,21,Neymar,Brazil,92,92,79,81,60,90,88,84,81,80,33,90,78,24,53,Right,80,83
88,31,78,86,60,91,Fc Barcelona,83,77,86,42,86,86,94,84,Luis Suarez,77,182,41,69,Laliga Santander,64,86,30,Suarez,Uruguay,92,82,79,85,81,92,93,90,83,87,38,77,89,45,80,Right,84,88
77,26,68,81,76,89,Manchester City,84,92,84,48,87,87,83,84,Kevin De Bruyne,56,181,59,65,Premier League,85,87,32,De Bruyne,Belgium,91,76,90,77,76,85,90,85,92,86,42,76,88,54,73,Right,92,82
73,25,75,76,61,90,Manchester United,86,79,86,68,85,87,71,83,Paul Pogba,73,191,68,85,Premier League,90,82,66,Pogba,France,88,76,86,76,88,83,85,79,88,90,66,78,91,68,91,Right,88,85
82,26,90,83,90,79,Chelsea,84,67,49,81,80,77,65,49,N'Golo Kante,54,168,91,79,Premier League,79,66,75,Kante,France,87,81,75,54,84,71,87,66,84,72,85,80,94,89,77,Right,76,56
